42.877867	74.576234		
42.884630	74.574967		
42.896025	74.574727		
42.896033	74.574397		
42.930279	74.615931	Кожзавод	Кожзавод
42.929940	74.616263	Кожзавод	Кожзавод
42.864507	74.546868		
42.873849	74.636901		
42.875806	74.637165		
42.875194	74.639492	Камволдук-нооту комбинаты	Камволдук-нооту комбинаты
42.888026	74.634244	улица Курманжан Датка	улица Курманжан Датка
42.870284	74.588776	улица Манаса	улица Манаса
42.870104	74.589370	улица Манаса	улица Манаса
42.858610	74.610593	Юг-2	Юг-2
42.875967	74.576413		
42.875628	74.578690		
42.875133	74.593843	улица Тоголок Молдо	улица Тоголок Молдо
42.874843	74.596972	Военторг	Военторг
42.876075	74.596901	Кинотеатр Россия	Кинотеатр Россия
42.875855	74.617629		
42.843379	74.609020		
42.877650	74.563941	Ленинская районная администрация	Ленин райондук администрациясы
42.885014	74.567390		
42.872120	74.617268		
42.869651	74.599430	Республиканская больница	Республиканская больница
42.869851	74.598101	Республиканская больница	Республиканская больница
42.870053	74.593571	сквер Тоголок Молдо	сквер Тоголок Молдо
42.876408	74.589053	Филармония имени Токтогула Сатылганова	Токтогул Сатылганов атындагы Кыргыз улуттук филармониясы
42.867169	74.611384	улица Боконбаева	улица Боконбаева
42.847427	74.623177	Суванбердиева	Суванбердиева
42.888209	74.637810	Аламединский рынок	Аламединский рынок
42.835475	74.623237		
42.844488	74.608834	Ахунбаева	Ахунбаева
42.868934	74.623413		
42.869446	74.620453		
42.868084	74.616396		
42.864055	74.606580		
42.866928	74.616888		
42.864328	74.606745		
42.872949	74.449381		
42.873190	74.447395		
42.852574	74.609956		
42.870766	74.575991	Иманалы Айдарбеков көчөсү	Иманалы Айдарбеков көчөсү
42.848341	74.609245	Завод Дастан	Завод Дастан
42.851473	74.609539		
42.869147	74.620697		
42.874936	74.623392		
42.871232	74.623961		
42.817098	74.624616	МТУ №7	МТУ №7
42.833643	74.607942	Мебельный	Мебельный
42.883107	74.670592	Чкалова	Чкалова
42.882798	74.671618	Чкалова	Чкалова
42.881974	74.678741	Калинина	Калинина
40.519243	72.800891		
42.871145	74.571985	Роддом №2	Роддом №2
42.876589	74.596129		
42.856493	74.620078	Торговый центр Таш-Рабат	Таш-Рабат соода борбору
42.856804	74.615554		
42.826560	74.613550		
42.818156	74.623852	МТУ №7	МТУ №7
42.819269	74.621356	Асанбай сейил багы	Асанбай сейил багы
42.820024	74.620914	Парк Асанбай	Парк Асанбай
42.821522	74.618630	Сухэ-Батор	Сухэ-Батор
42.821645	74.617578	Сухэ-Батора	Сухэ-Батора
42.828027	74.608263	8-й микрорайон	8-кичирайон
42.828263	74.605109		
42.829966	74.607263	10 микрорайон	10 микрорайон
42.828384	74.608114	8-й микрорайон	8-кичирайон
42.835156	74.607845	9 микрорайон	9 микрорайон
42.846967	74.597273		
42.846196	74.597691		
42.886717	74.522341		
42.887024	74.522555		
42.849149	74.609575	Завод Дастан	Завод Дастан
42.874953	74.628179	Центр семейной медицины №4	Центр семейной медицины №4
42.874062	74.509475	Киркомстром - Школа № 42	Киркомстром - № 42 мектеп
42.880887	74.596439	Стадион Спартак	Стадион Спартак
42.884024	74.615119		
42.884460	74.596679		
42.884637	74.567029		
42.853816	74.535573		
42.852846	74.511446		
42.872245	74.434772		
42.872683	74.433599		
42.874723	74.528108		
42.835734	74.621367		
42.859541	74.615315	Ибраимов	Ибраимов
42.841117	74.636379		
42.842508	74.636468		
42.848915	74.623019	Суванбердиева	Суванбердиева
42.832865	74.585541	Посольство Казахстана	Посольство Казахстана
42.837469	74.585534	Ак-Кеме мейманканасы	Ак-Кеме мейманканасы
42.841702	74.568395	Нижний Джал	Нижний Джал
42.842533	74.585781	Политех	Политех
42.856481	74.610050	ТРЦ Вефа	ТРЦ Вефа
42.870454	74.581704	улица Шевченко	улица Шевченко
42.870565	74.583262	улица Шевченко	улица Шевченко
42.860438	74.616759	Ибраимов	Ибраимов
42.865948	74.573110		
42.842823	74.609428	Ахунбаев	Ахунбаев
42.833279	74.566468	Средний Джал	Средний Джал
42.842457	74.568635	Нижний Джал	Нижний Джал
42.843690	74.571390	Детская больница	Детская больница
42.843927	74.570701	Детская больница	Детская больница
42.838047	74.568550	Средний Джал	Средний Джал
42.829751	74.568301	Проспект Абсамата Масалиева	Проспект Абсамата Масалиева
42.830627	74.569376	Верхний Джал	Верхний Джал
42.843629	74.584193	Политех	Политех
42.834996	74.569048		
42.829309	74.574167	Бакаева	Бакаева
42.827198	75.303318	Панфилова	Панфилова
42.835091	75.303256	Телеком	Телеком
42.834978	75.303596	Телеком	Телеком
42.844499	75.305303	Горбольница	Горбольница
42.838440	75.291207	Бакай Банк	Бакай Банк
42.822999	75.303397	Гостиница	Гостиница
42.836389	75.289896	Самолет	Самолет
42.838547	75.291488	Универмаг	Универмаг
42.829805	75.302861	Автобаза	Автобаза
42.817371	75.290789	Покровская	Покровская
42.840910	75.282162	Городская Баня	Городская Баня
42.837612	75.291939	Мегаполис	Мегаполис
42.843492	75.272163	Ворошилова	Ворошилова
42.843608	75.272214	Ворошилова	Ворошилова
42.840139	75.286046		
42.838475	75.289407	Парк отдыха	Парк отдыха
42.847596	75.248996	Конечная	Конечная
42.812507	75.307632	ПОШ	ПОШ
42.836779	75.300686	Кинотеатр Космос	Кинотеатр Космос
42.841725	75.292171	Салтанат	Салтанат
42.842984	75.292378	Мечеть	Мечеть
42.806555	75.311809	Молзавод	Молзавод
42.836940	75.300741	Кинотеатр Космос	Кинотеатр Космос
42.791763	75.317130	Воданапорная Башня	Водонапоная башня
42.798217	75.313242	Стекольный	Стекольный
42.812902	75.307029	ПОШ	ПОШ
42.798611	75.313288	Стекольный	Стекольный
42.794595	75.315996	Тоо-Таш	Тоо-Таш
42.785807	75.308063	1 Микрорайон	1 Микрорайон
42.785871	75.308480	Пятачок	1 Микрорайон
42.788694	75.316451	Базарчик	Базарчик
42.837761	75.292391	Бону	Бону
42.844862	75.267011	Громова	Громова
42.910854	74.612619	Витебская	Витебская
42.910106	74.612396	Витебская	Витебская
42.915333	74.612382	Дорожная	Дорожная
42.914520	74.612609	Дорожная	Дорожная
42.921756	74.612019	Туббольница	Туббольница
42.921748	74.611820	Туббольница	Туббольница
42.924875	74.612061		
42.928909	74.610903		
42.929211	74.611327		
42.924624	74.611836		
42.890399	74.611635	Күрөңкеев	Күрөңкеев
42.904237	74.612417	Школьная	Школьная
42.907180	74.612638	Турбаза	Турбаза
42.893729	74.611568	Баялинова	Баялинова
42.891855	74.611391	Баялинов	Баялинов
42.906697	74.612448	Турбаза	Турбаза
42.898575	74.611890	БЧК	БЧК
42.838652	75.303711	Домоуправление	Домоуправление
42.845333	75.305408	АРЗ	АРЗ
42.900312	74.597747		
42.864622	74.545660	Пишпек	Пишпек
42.898086	74.611614	БЧК	БЧК
42.790631	75.318416	3 Микрорайон	3 Микрорайон
42.789725	75.302476	КПФ	КПФ
42.784820	75.320329	3 Микрорайон	3 Микрорайон
42.802256	75.313918	Радиозавод	Радиозавод
42.217389	75.760273		
42.833206	74.621742	7 микрорайон	7 микрорайон
42.805470	74.567348		
42.878018	74.668619		
42.878315	74.666865		
42.851856	74.567002	Баня	Баня
42.851726	74.568329	баня	баня
42.852428	74.567698		
42.701509	74.539765		
42.821019	74.628803		
42.821530	74.629245		
42.903144	74.612174	Школьная	Школьная
42.852168	74.623592		
42.856321	74.624417	Городское ГАИ	Городское ГАИ
42.853813	74.623371	Карасаева	Карасаева
42.867848	74.586632		
42.873114	74.564515	Мясокомбинат	Мясокомбинат
42.843790	74.576473	Бакаева	Бакаева
42.872084	74.567325	Кулиева	Кулиева
42.873127	74.563846	Мясокомбинат	Мясокомбинат
42.876997	74.562910		
42.868742	74.575354		
42.873187	74.581852		
42.857293	74.598410	улица Чехова	улица Чехова
42.857469	74.594304	переулок Новосибирский	переулок Новосибирский
42.857304	74.595062	переулок Новосибирский	переулок Новосибирский
42.878831	74.562572		
42.807394	73.848433		
42.803214	73.850767	Шлагбаум	Шлагбаум
42.859662	74.611715		
42.859516	74.611784		
42.886518	74.636091		
42.819723	73.850165	Водоканал	Водоканал
42.820005	73.849840	Детский сад	Детский сад
